location_id,temperature_2m,precipitation,wind_speed_10m,relative_humidity_2m,surface_pressure,cloud_cover,shortwave_radiation,name,country,elevation_m
bd_chattogram,27.562885154061625,15.719327731092438,4.3630217086834735,86.70098039215686,1003.1142857142856,78.45448179271709,182.20343137254903,Chattogram,BD,9.0
bd_dhaka,28.3953081232493,9.531092436974792,3.113483893557423,84.39460784313725,1000.8841736694678,76.16421568627452,188.2436974789916,Dhaka,BD,19.0
bd_rangamati,27.363200280112046,9.92016806722689,2.2948914565826333,85.95833333333333,1001.2124649859943,79.19502801120449,175.85819327731093,Rangamati,BD,29.0
bd_sajek,24.637149859943978,9.58235294117647,1.9994642857142857,86.83368347338936,956.1679271708683,81.1295518207283,176.26190476190476,Sajek,BD,435.0
bd_sylhet,27.22717086834734,26.44873949579832,1.2019712885154061,87.45378151260505,1001.8176120448179,84.08298319327731,157.70658263305322,Sylhet,BD,20.0
bt_chele_la,8.634313725490195,10.75966386554622,1.1145938375350142,87.60189075630252,651.7381302521009,87.46953781512605,199.97584033613447,Chele La,BT,3807.0
bt_paro,17.828641456582634,14.248739495798318,0.819796918767507,87.82317927170868,779.4475140056023,82.96078431372548,180.6172969187675,Paro,BT,2269.0
bt_phuentsholing,25.520063025210085,18.93529411764706,0.9077941176470588,86.19642857142857,968.7330532212885,77.88655462184875,165.23459383753502,Phuentsholing,BT,323.0
bt_punakha,21.693347338935574,11.908403361344536,0.8132773109243697,86.49894957983193,872.2395658263306,87.30742296918767,179.23354341736695,Punakha,BT,1289.0
bt_thimphu,17.16341036414566,9.16218487394958,0.8410224089635855,86.73249299719888,775.2334383753503,82.68697478991596,187.6232492997199,Thimphu,BT,2316.0
id_berastagi,19.538515406162464,8.514285714285714,1.0816421568627452,88.63515406162465,862.5122899159664,87.46288515406162,206.9982492997199,Berastagi,ID,1401.0
id_medan,26.53676470588235,6.677310924369748,1.1751365546218489,87.34768907563026,1007.6117296918768,85.93662464985995,219.31372549019608,Medan,ID,26.0
in_anamudi,12.583368347338935,13.485714285714286,1.8643347338935574,90.34803921568627,746.28081232493,96.1610644257703,176.78571428571428,Anamudi,IN,2638.0
in_bengaluru,23.945553221288517,2.889075630252101,3.983932072829132,75.12535014005603,910.7386204481793,86.32387955182072,206.35364145658264,Bengaluru,IN,910.0
in_chennai,31.03988095238095,1.4025210084033612,3.981481092436975,64.69502801120449,1004.5526260504201,78.03011204481793,234.7825630252101,Chennai,IN,12.0
in_coimbatore,25.34481792717087,2.2294117647058824,4.065245098039216,78.16806722689076,961.2253151260504,86.41771708683473,205.90511204481794,Coimbatore,IN,431.0
in_darjeeling,16.922408963585436,21.115126050420166,0.8029026610644259,89.70273109243698,792.2883403361344,87.54026610644257,175.2153361344538,Darjeeling,IN,2100.0
