location_id,month,temperature_2m,precipitation,wind_speed_10m,relative_humidity_2m,surface_pressure,cloud_cover,shortwave_radiation,country,latitude,longitude,elevation_m,hours,elevation_km
bd_chattogram,5,28.493518518518517,1.1851851851851851,3.19591049382716,81.33179012345678,1005.4958333333334,40.57716049382716,249.0354938271605,BD,22.3569,91.7832,9.0,648,0.009
bd_chattogram,6,27.578333333333337,14.54,3.659402777777778,87.78055555555555,1003.4940277777777,84.74722222222222,169.07916666666668,BD,22.3569,91.7832,9.0,720,0.009
bd_chattogram,7,26.951612903225808,31.664516129032258,5.5777688172043005,89.18548387096774,1001.6194892473119,93.87096774193549,143.0201612903226,BD,22.3569,91.7832,9.0,744,0.009
bd_chattogram,8,27.348655913978497,13.574193548387097,4.845712365591398,87.84811827956989,1002.1673387096774,89.93817204301075,175.8790322580645,BD,22.3569,91.7832,9.0,744,0.009
bd_dhaka,5,28.58688271604938,4.614814814814815,2.4514043209876544,81.27006172839506,1003.5638888888889,41.53086419753087,234.04166666666666,BD,23.8103,90.4125,19.0,648,0.019
bd_dhaka,6,28.83375,7.923333333333333,2.7637916666666666,84.87083333333334,1001.1802777777779,74.49861111111112,194.7625,BD,23.8103,90.4125,19.0,720,0.019
bd_dhaka,7,27.732795698924733,18.241935483870968,3.761209677419355,86.6975806451613,999.1486559139785,92.78897849462365,146.4811827956989,BD,23.8103,90.4125,19.0,744,0.019
bd_dhaka,8,28.46666666666667,6.658064516129032,3.3808198924731183,84.35215053763442,999.9991935483871,91.31586021505376,183.80913978494624,BD,23.8103,90.4125,19.0,744,0.019
bd_rangamati,5,28.514197530864198,1.3740740740740742,1.7597376543209875,77.46604938271605,1003.4239197530864,42.92283950617284,239.67746913580248,BD,22.7324,92.2985,29.0,648,0.029
bd_rangamati,6,27.157222222222224,9.29,2.0854583333333334,88.27083333333333,1001.5672222222222,85.86527777777778,162.99027777777778,BD,22.7324,92.2985,29.0,720,0.029
bd_rangamati,7,26.58225806451613,18.541935483870965,2.8654435483870966,89.99731182795699,999.8360215053764,93.41129032258064,139.32392473118279,BD,22.7324,92.2985,29.0,744,0.029
bd_rangamati,8,27.340994623655916,9.351612903225805,2.3931182795698924,87.07795698924731,1000.3194892473118,90.11559139784946,169.26075268817203,BD,22.7324,92.2985,29.0,744,0.029
bd_sajek,5,25.37515432098765,2.0185185185185186,1.6398148148148146,79.18981481481481,958.4683641975308,50.22067901234568,231.8395061728395,BD,23.3819,92.2938,435.0,648,0.435
bd_sajek,6,24.469722222222224,5.63,1.9730694444444443,88.10833333333333,956.4394444444445,85.98611111111111,164.26111111111112,BD,23.3819,92.2938,435.0,720,0.435
