Unnamed: 0,missing,percent
temperature_2m,0,0.0
relative_humidity_2m,0,0.0
dew_point_2m,0,0.0
apparent_temperature,0,0.0
precipitation,0,0.0
rain,0,0.0
snowfall,0,0.0
snow_depth,0,0.0
weather_code,0,0.0
pressure_msl,0,0.0
surface_pressure,0,0.0
cloud_cover,0,0.0
cloud_cover_low,0,0.0
cloud_cover_mid,0,0.0
cloud_cover_high,0,0.0
et0_fao_evapotranspiration,0,0.0
vapour_pressure_deficit,0,0.0
wind_speed_10m,0,0.0
wind_speed_100m,0,0.0
wind_direction_10m,0,0.0
wind_direction_100m,0,0.0
wind_gusts_10m,0,0.0
soil_temperature_0_to_7cm,0,0.0
soil_temperature_7_to_28cm,0,0.0
soil_temperature_28_to_100cm,0,0.0
soil_temperature_100_to_255cm,0,0.0
soil_moisture_0_to_7cm,0,0.0
soil_moisture_7_to_28cm,0,0.0
soil_moisture_28_to_100cm,0,0.0
soil_moisture_100_to_255cm,0,0.0
boundary_layer_height,74256,6.032364983427569
wet_bulb_temperature_2m,0,0.0
total_column_integrated_water_vapour,74256,6.032364983427569
is_day,0,0.0
sunshine_duration,0,0.0
shortwave_radiation,0,0.0
direct_radiation,0,0.0
diffuse_radiation,0,0.0
direct_normal_irradiance,0,0.0
global_tilted_irradiance,0,0.0
terrestrial_radiation,0,0.0
shortwave_radiation_instant,0,0.0
direct_radiation_instant,0,0.0
diffuse_radiation_instant,0,0.0
direct_normal_irradiance_instant,0,0.0
global_tilted_irradiance_instant,0,0.0
terrestrial_radiation_instant,0,0.0
